Region,province,January,February,March,April,May,June,July,August,September,October,November,December
ภาคกลาง,กรุงเทพมหานคร,2,2,2,1,1,1,2,2,3,3,3,2
ภาคใต้,กระบี่,2,2,2,2,1,1,1,1,2,3,3,3
ภาคตะวันตก,กาญจนบุรี,2,2,2,1,1,1,2,2,3,3,3,2
ภาคอีสาน,กาฬสินธุ์,1,1,1,1,1,2,2,2,3,3,3,2
ภาคเหนือตอนล่าง,กำแพงเพชร,2,2,2,1,1,1,2,2,3,3,3,2
ภาคอีสาน,ขอนแก่น,1,1,1,1,1,2,2,2,3,3,3,2
ภาคตะวันออก,จันทบุรี,2,2,2,1,1,1,2,2,3,3,3,2
ภาคตะวันออก,ฉะเชิงเทรา,2,2,2,1,1,1,2,2,3,3,3,2
ภาคตะวันออก,ชลบุรี,2,2,2,1,1,1,2,2,3,3,3,2
ภาคกลาง,ชัยนาท,2,2,2,1,1,1,2,2,3,3,3,2
ภาคอีสาน,ชัยภูมิ,1,1,1,1,1,2,2,2,3,3,3,2
ภาคใต้,ชุมพร,2,2,2,2,1,1,1,1,2,3,3,3
ภาคใต้,ตรัง,2,2,2,2,1,1,1,1,2,3,3,3
ภาคตะวันออก,ตราด,2,2,2,1,1,1,2,2,3,3,3,2
ภาคตะวันตก,ตาก,2,2,2,1,1,1,2,2,3,3,3,2
ภาคกลาง,นครนายก,2,2,2,1,1,1,2,2,3,3,3,2
ภาคกลาง,นครปฐม,2,2,2,1,1,1,2,2,3,3,3,2
ภาคอีสาน,นครพนม,1,1,1,1,1,2,2,2,3,3,3,2
ภาคอีสาน,นครราชสีมา,1,1,1,1,1,2,2,2,3,3,3,2
ภาคใต้,นครศรีธรรมราช,2,2,2,2,1,1,1,1,2,3,3,3
ภาคเหนือตอนล่าง,นครสวรรค์,2,2,2,1,1,1,2,2,3,3,3,2
ภาคกลาง,นนทบุรี,2,2,2,1,1,1,2,2,3,3,3,2
ภาคใต้,นราธิวาส,2,2,2,2,1,1,1,1,2,3,3,3
ภาคเหนือ,น่าน,2,2,1,1,1,1,2,2,3,3,2,2
ภาคอีสาน,บึงกาฬ,1,1,1,1,1,2,2,2,3,3,3,2
ภาคอีสาน,บุรีรัมย์,1,1,1,1,1,2,2,2,3,3,3,2
ภาคกลาง,ปทุมธานี,2,2,2,1,1,1,2,2,3,3,3,2
ภาคตะวันตก,ประจวบคีรีขันธ์,2,2,2,1,1,1,2,2,3,3,3,2
ภาคตะวันออก,ปราจีนบุรี,2,2,2,1,1,1,2,2,3,3,3,2
ภาคใต้,ปัตตานี,2,2,2,2,1,1,1,1,2,3,3,3
ภาคกลาง,พระนครศรีอยุธยา,2,2,2,1,1,1,2,2,3,3,3,2
ภาคเหนือ,พะเยา,2,2,1,1,1,1,2,2,3,3,2,2
ภาคใต้,พังงา,2,2,2,2,1,1,1,1,2,3,3,3
ภาคใต้,พัทลุง,2,2,2,2,1,1,1,1,2,3,3,3
ภาคเหนือตอนล่าง,พิจิตร,2,2,2,1,1,1,2,2,3,3,3,2
ภาคเหนือตอนล่าง,พิษณุโลก,2,2,2,1,1,1,2,2,3,3,3,2
ภาคใต้,ภูเก็ต,2,2,2,2,1,1,1,1,2,3,3,3
ภาคอีสาน,มหาสารคาม,1,1,1,1,1,2,2,2,3,3,3,2
ภาคอีสาน,มุกดาหาร,1,1,1,1,1,2,2,2,3,3,3,2
ภาคใต้,ยะลา,2,2,2,2,1,1,1,1,2,3,3,3
ภาคอีสาน,ยโสธร,1,1,1,1,1,2,2,2,3,3,3,2
ภาคใต้,ระนอง,2,2,2,2,1,1,1,1,2,3,3,3
ภาคตะวันออก,ระยอง,2,2,2,1,1,1,2,2,3,3,3,2
ภาคตะวันตก,ราชบุรี,2,2,2,1,1,1,2,2,3,3,3,2
ภาคกลาง,ลพบุรี,2,2,2,1,1,1,2,2,3,3,3,2
ภาคเหนือ,ลำปาง,2,2,1,1,1,1,2,2,3,3,2,2
ภาคเหนือ,ลำพูน,2,2,1,1,1,1,2,2,3,3,2,2
ภาคอีสาน,เลย,1,1,1,1,1,2,2,2,3,3,3,2
ภาคอีสาน,ศรีสะเกษ,1,1,1,1,1,2,2,2,3,3,3,2
ภาคอีสาน,สกลนคร,1,1,1,1,1,2,2,2,3,3,3,2
ภาคใต้,สงขลา,2,2,2,2,1,1,1,1,2,3,3,3
ภาคใต้,สตูล,2,2,2,2,1,1,1,1,2,3,3,3
ภาคกลาง,สมุทรปราการ,2,2,2,1,1,1,2,2,3,3,3,2
ภาคกลาง,สมุทรสงคราม,2,2,2,1,1,1,2,2,3,3,3,2
ภาคกลาง,สมุทรสาคร,2,2,2,1,1,1,2,2,3,3,3,2
ภาคตะวันออก,สระแก้ว,2,2,2,1,1,1,2,2,3,3,3,2
ภาคกลาง,สระบุรี,2,2,2,1,1,1,2,2,3,3,3,2
ภาคกลาง,สิงห์บุรี,2,2,2,1,1,1,2,2,3,3,3,2
ภาคเหนือตอนล่าง,สุโขทัย,2,2,2,1,1,1,2,2,3,3,3,2
ภาคกลาง,สุพรรณบุรี,2,2,2,1,1,1,2,2,3,3,3,2
ภาคใต้,สุราษฎร์ธานี,2,2,2,2,1,1,1,1,2,3,3,3
ภาคอีสาน,สุรินทร์,1,1,1,1,1,2,2,2,3,3,3,2
ภาคอีสาน,หนองคาย,1,1,1,1,1,2,2,2,3,3,3,2
ภาคอีสาน,หนองบัวลำภู,1,1,1,1,1,2,2,2,3,3,3,2
ภาคกลาง,อ่างทอง,2,2,2,1,1,1,2,2,3,3,3,2
ภาคอีสาน,อุดรธานี,1,1,1,1,1,2,2,2,3,3,3,2
ภาคเหนือ,อุตรดิตถ์,2,2,1,1,1,1,2,2,3,3,2,2
ภาคเหนือตอนล่าง,อุทัยธานี,2,2,2,1,1,1,2,2,3,3,3,2
ภาคอีสาน,อุบลราชธานี,1,1,1,1,1,2,2,2,3,3,3,2
ภาคอีสาน,อำนาจเจริญ,1,1,1,1,1,2,2,2,3,3,3,2
ภาคเหนือ,เชียงราย,2,2,1,1,1,1,2,2,3,3,2,2
ภาคเหนือ,เชียงใหม่,2,2,1,1,1,1,2,2,3,3,2,2
ภาคตะวันตก,เพชรบุรี,2,2,2,1,1,1,2,2,3,3,3,2
ภาคเหนือตอนล่าง,เพชรบูรณ์,2,2,2,1,1,1,2,2,3,3,3,2
ภาคเหนือ,แพร่,2,2,1,1,1,1,2,2,3,3,2,2
ภาคเหนือ,แม่ฮ่องสอน,2,2,1,1,1,1,2,2,3,3,2,2
ภาคอีสาน,ร้อยเอ็ด,1,1,1,1,1,2,2,2,3,3,3,2
